sch_year,fips,state,st,grade,enrollment,data_source
2019-2020,30,MONTANA,MT,kindergarten,12398,CCD federal data
2019-2020,30,MONTANA,MT,unspecified,0,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_1,23204,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_10,24564,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_11,23807,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_12,24924,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_2,23246,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_3,23102,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_4,23838,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_5,24395,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_6,24307,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_7,22948,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_8,23965,CCD federal data
2019-2020,31,NEBRASKA,NE,grade_9,24388,CCD federal data
2019-2020,31,NEBRASKA,NE,k_12_total,310523,CCD federal data
2019-2020,31,NEBRASKA,NE,kindergarten,23835,CCD federal data
2019-2020,31,NEBRASKA,NE,unspecified,0,CCD federal data
2019-2020,32,NEVADA,NV,grade_1,36590,CCD federal data
2019-2020,32,NEVADA,NV,grade_10,36743,CCD federal data
2019-2020,32,NEVADA,NV,grade_11,35991,CCD federal data
2019-2020,32,NEVADA,NV,grade_12,34191,CCD federal data
2019-2020,32,NEVADA,NV,grade_2,36500,CCD federal data
2019-2020,32,NEVADA,NV,grade_3,36798,CCD federal data
2019-2020,32,NEVADA,NV,grade_4,37079,CCD federal data
2019-2020,32,NEVADA,NV,grade_5,37770,CCD federal data
2019-2020,32,NEVADA,NV,grade_6,39462,CCD federal data
2019-2020,32,NEVADA,NV,grade_7,40206,CCD federal data
2019-2020,32,NEVADA,NV,grade_8,38795,CCD federal data
2019-2020,32,NEVADA,NV,grade_9,37904,CCD federal data
2019-2020,32,NEVADA,NV,k_12_total,484890,CCD federal data
2019-2020,32,NEVADA,NV,kindergarten,35882,CCD federal data
2019-2020,32,NEVADA,NV,ungraded,979,CCD federal data
2019-2020,32,NEVADA,NV,unspecified,0,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_1,12588,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_10,14080,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_11,13631,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_12,13381,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_2,12398,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_3,12817,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_4,12689,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_5,13222,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_6,13592,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_7,13921,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_8,13925,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,grade_9,14826,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,k_12_total,172779,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,kindergarten,11709,CCD federal data
2019-2020,33,NEW HAMPSHIRE,NH,unspecified,0,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_1,93672,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_10,102693,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_11,99897,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_12,97495,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_2,94488,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_3,95054,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_4,96208,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_5,99279,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_6,101105,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_7,102876,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_8,101515,CCD federal data
2019-2020,34,NEW JERSEY,NJ,grade_9,104750,CCD federal data
2019-2020,34,NEW JERSEY,NJ,k_12_total,1343638,CCD federal data
2019-2020,34,NEW JERSEY,NJ,kindergarten,91109,CCD federal data
2019-2020,34,NEW JERSEY,NJ,ungraded,63497,CCD federal data
2019-2020,34,NEW JERSEY,NJ,unspecified,0,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_1,23421,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_10,25829,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_11,22929,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_12,21684,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_2,23323,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_3,23745,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_4,24277,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_5,25814,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_6,26191,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_7,26120,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_8,25464,CCD federal data
2019-2020,35,NEW MEXICO,NM,grade_9,28824,CCD federal data
2019-2020,35,NEW MEXICO,NM,k_12_total,320719,CCD federal data
2019-2020,35,NEW MEXICO,NM,kindergarten,23098,CCD federal data
2019-2020,35,NEW MEXICO,NM,unspecified,0,CCD federal data
2019-2020,36,NEW YORK,NY,grade_1,190490,CCD federal data
2019-2020,36,NEW YORK,NY,grade_10,206663,CCD federal data
2019-2020,36,NEW YORK,NY,grade_11,194475,CCD federal data
2019-2020,36,NEW YORK,NY,grade_12,192099,CCD federal data
2019-2020,36,NEW YORK,NY,grade_2,193043,CCD federal data
2019-2020,36,NEW YORK,NY,grade_3,192701,CCD federal data
2019-2020,36,NEW YORK,NY,grade_4,195145,CCD federal data
2019-2020,36,NEW YORK,NY,grade_5,198669,CCD federal data
2019-2020,36,NEW YORK,NY,grade_6,200254,CCD federal data
2019-2020,36,NEW YORK,NY,grade_7,202306,CCD federal data
2019-2020,36,NEW YORK,NY,grade_8,200051,CCD federal data
2019-2020,36,NEW YORK,NY,grade_9,214322,CCD federal data
2019-2020,36,NEW YORK,NY,k_12_total,2615760,CCD federal data
2019-2020,36,NEW YORK,NY,kindergarten,190030,CCD federal data
2019-2020,36,NEW YORK,NY,ungraded,45512,CCD federal data
2019-2020,36,NEW YORK,NY,unspecified,0,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_1,115861,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_10,113466,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_11,113537,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_12,105663,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_2,115699,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_3,115821,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_4,117950,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_5,122407,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_6,124504,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_7,124361,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_8,121254,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,grade_9,130058,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,k_12_total,1536154,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,kindergarten,115573,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,ungraded,0,CCD federal data
2019-2020,37,NORTH CAROLINA,NC,unspecified,0,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_1,9177,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_10,8201,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_11,7731,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_12,7506,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_2,9216,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_3,8828,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_4,8753,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_5,8928,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_6,8963,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_7,8922,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_8,8664,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,grade_9,8545,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,k_12_total,113056,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,kindergarten,9622,CCD federal data
2019-2020,38,NORTH DAKOTA,ND,unspecified,0,CCD federal data
2019-2020,39,OHIO,OH,grade_1,124558,CCD federal data
2019-2020,39,OHIO,OH,grade_10,132636,CCD federal data
2019-2020,39,OHIO,OH,grade_11,117457,CCD federal data
2019-2020,39,OHIO,OH,grade_12,117517,CCD federal data
2019-2020,39,OHIO,OH,grade_2,122412,CCD federal data
2019-2020,39,OHIO,OH,grade_3,124684,CCD federal data
2019-2020,39,OHIO,OH,grade_4,123652,CCD federal data
2019-2020,39,OHIO,OH,grade_5,128212,CCD federal data
2019-2020,39,OHIO,OH,grade_6,130684,CCD federal data
2019-2020,39,OHIO,OH,grade_7,132691,CCD federal data
2019-2020,39,OHIO,OH,grade_8,130770,CCD federal data
2019-2020,39,OHIO,OH,grade_9,137579,CCD federal data
2019-2020,39,OHIO,OH,k_12_total,1647478,CCD federal data
2019-2020,39,OHIO,OH,kindergarten,124626,CCD federal data
2019-2020,39,OHIO,OH,unspecified,0,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_1,52814,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_10,50874,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_11,47698,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_12,44279,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_2,50548,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_3,50995,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_4,50975,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_5,52628,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_6,53000,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_7,52840,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_8,51061,CCD federal data
2019-2020,40,OKLAHOMA,OK,grade_9,51334,CCD federal data
2019-2020,40,OKLAHOMA,OK,k_12_total,661816,CCD federal data
2019-2020,40,OKLAHOMA,OK,kindergarten,52770,CCD federal data
2019-2020,40,OKLAHOMA,OK,unspecified,0,CCD federal data
2019-2020,41,OREGON,OR,grade_1,42987,CCD federal data
2019-2020,41,OREGON,OR,grade_10,45511,CCD federal data
2019-2020,41,OREGON,OR,grade_11,44085,CCD federal data
2019-2020,41,OREGON,OR,grade_12,45959,CCD federal data
2019-2020,41,OREGON,OR,grade_2,43075,CCD federal data
2019-2020,41,OREGON,OR,grade_3,43838,CCD federal data
2019-2020,41,OREGON,OR,grade_4,44220,CCD federal data
2019-2020,41,OREGON,OR,grade_5,45374,CCD federal data
2019-2020,41,OREGON,OR,grade_6,47024,CCD federal data
2019-2020,41,OREGON,OR,grade_7,46851,CCD federal data
2019-2020,41,OREGON,OR,grade_8,45985,CCD federal data
2019-2020,41,OREGON,OR,grade_9,45430,CCD federal data
2019-2020,41,OREGON,OR,k_12_total,582661,CCD federal data
2019-2020,41,OREGON,OR,kindergarten,42322,CCD federal data
2019-2020,41,OREGON,OR,unspecified,0,CCD federal data
2019-2020,42,PENNSYLVANIA,PA,grade_1,125788,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_10,137685,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_11,131662,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_12,129774,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_2,126084,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_3,128159,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_4,128778,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_5,132259,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_6,136602,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_7,137748,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_8,136052,PA state data
2019-2020,42,PENNSYLVANIA,PA,grade_9,141733,PA state data
2019-2020,42,PENNSYLVANIA,PA,k_12_total,1716712,PA state data
2019-2020,42,PENNSYLVANIA,PA,kindergarten,124388,PA state data
2019-2020,44,RHODE ISLAND,RI,grade_1,10208,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_10,11535,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_11,10893,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_12,10946,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_2,10244,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_3,10376,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_4,10542,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_5,10746,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_6,10971,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_7,11241,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_8,10993,CCD federal data
2019-2020,44,RHODE ISLAND,RI,grade_9,11816,CCD federal data
2019-2020,44,RHODE ISLAND,RI,k_12_total,140549,CCD federal data
2019-2020,44,RHODE ISLAND,RI,kindergarten,10038,CCD federal data
2019-2020,44,RHODE ISLAND,RI,unspecified,0,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_1,57222,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_10,57693,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_11,51957,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_12,49626,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_2,57430,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_3,57762,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_4,58044,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_5,61369,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_6,62339,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_7,62972,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_8,60243,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,grade_9,66094,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,k_12_total,758809,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,kindergarten,56058,CCD federal data
2019-2020,45,SOUTH CAROLINA,SC,unspecified,0,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_1,10527,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_10,10141,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_11,8985,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_12,8700,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_2,10382,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_3,10472,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_4,10651,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_5,10808,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_6,10950,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_7,11031,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_8,10692,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,grade_9,11292,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,k_12_total,136637,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,kindergarten,12006,CCD federal data
2019-2020,46,SOUTH DAKOTA,SD,unspecified,0,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_1,76354,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_10,74650,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_11,70687,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_12,68388,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_2,75494,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_3,75020,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_4,75065,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_5,75633,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_6,78605,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_7,79064,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_8,77427,CCD federal data
2019-2020,47,TENNESSEE,TN,grade_9,78141,CCD federal data
2019-2020,47,TENNESSEE,TN,k_12_total,981321,CCD federal data
2019-2020,47,TENNESSEE,TN,kindergarten,76793,CCD federal data
2019-2020,47,TENNESSEE,TN,unspecified,0,CCD federal data
2019-2020,48,TEXAS,TX,grade_1,391476,CCD federal data
2019-2020,48,TEXAS,TX,grade_10,407303,CCD federal data
2019-2020,48,TEXAS,TX,grade_11,377340,CCD federal data
2019-2020,48,TEXAS,TX,grade_12,354546,CCD federal data
2019-2020,48,TEXAS,TX,grade_2,388701,CCD federal data
2019-2020,48,TEXAS,TX,grade_3,391813,CCD federal data
2019-2020,48,TEXAS,TX,grade_4,400139,CCD federal data
2019-2020,48,TEXAS,TX,grade_5,417477,CCD federal data
2019-2020,48,TEXAS,TX,grade_6,422772,CCD federal data
2019-2020,48,TEXAS,TX,grade_7,423581,CCD federal data
2019-2020,48,TEXAS,TX,grade_8,411336,CCD federal data
2019-2020,48,TEXAS,TX,grade_9,449619,CCD federal data
2019-2020,48,TEXAS,TX,k_12_total,5220228,CCD federal data
2019-2020,48,TEXAS,TX,kindergarten,384125,CCD federal data
2019-2020,48,TEXAS,TX,ungraded,0,CCD federal data
2019-2020,48,TEXAS,TX,unspecified,0,CCD federal data
2019-2020,49,UTAH,UT,grade_1,50702,CCD federal data
2019-2020,49,UTAH,UT,grade_10,51371,CCD federal data
2019-2020,49,UTAH,UT,grade_11,50025,CCD federal data
2019-2020,49,UTAH,UT,grade_12,48145,CCD federal data
2019-2020,49,UTAH,UT,grade_2,49740,CCD federal data
2019-2020,49,UTAH,UT,grade_3,50954,CCD federal data
2019-2020,49,UTAH,UT,grade_4,51661,CCD federal data
2019-2020,49,UTAH,UT,grade_5,52764,CCD federal data
2019-2020,49,UTAH,UT,grade_6,54137,CCD federal data
2019-2020,49,UTAH,UT,grade_7,54599,CCD federal data
2019-2020,49,UTAH,UT,grade_8,53026,CCD federal data
2019-2020,49,UTAH,UT,grade_9,52016,CCD federal data
2019-2020,49,UTAH,UT,k_12_total,667947,CCD federal data
2019-2020,49,UTAH,UT,kindergarten,48787,CCD federal data
2019-2020,49,UTAH,UT,unspecified,20,CCD federal data
2019-2020,50,VERMONT,VT,grade_1,5704,CCD federal data
2019-2020,50,VERMONT,VT,grade_10,6298,CCD federal data
2019-2020,50,VERMONT,VT,grade_11,6182,CCD federal data
2019-2020,50,VERMONT,VT,grade_12,5758,CCD federal data
2019-2020,50,VERMONT,VT,grade_2,5801,CCD federal data
2019-2020,50,VERMONT,VT,grade_3,5734,CCD federal data
2019-2020,50,VERMONT,VT,grade_4,5943,CCD federal data
2019-2020,50,VERMONT,VT,grade_5,5819,CCD federal data
2019-2020,50,VERMONT,VT,grade_6,6254,CCD federal data
2019-2020,50,VERMONT,VT,grade_7,6217,CCD federal data
2019-2020,50,VERMONT,VT,grade_8,6004,CCD federal data
2019-2020,50,VERMONT,VT,grade_9,6464,CCD federal data
2019-2020,50,VERMONT,VT,k_12_total,78087,CCD federal data
2019-2020,50,VERMONT,VT,kindergarten,5909,CCD federal data
2019-2020,50,VERMONT,VT,unspecified,0,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_1,94392,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_10,99968,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_11,93749,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_12,93962,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_2,94798,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_3,94684,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_4,95344,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_5,97617,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_6,100324,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_7,100539,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_8,98559,CCD federal data
2019-2020,51,VIRGINIA,VA,grade_9,106296,CCD federal data
2019-2020,51,VIRGINIA,VA,k_12_total,1262591,CCD federal data
2019-2020,51,VIRGINIA,VA,kindergarten,92359,CCD federal data
2019-2020,51,VIRGINIA,VA,unspecified,0,CCD federal data
2019-2020,53,WASHINGTON,WA,grade_1,83166,WA state data
2019-2020,53,WASHINGTON,WA,grade_10,84174,WA state data
2019-2020,53,WASHINGTON,WA,grade_11,84801,WA state data
2019-2020,53,WASHINGTON,WA,grade_12,89406,WA state data
2019-2020,53,WASHINGTON,WA,grade_2,82925,WA state data
2019-2020,53,WASHINGTON,WA,grade_3,83882,WA state data
2019-2020,53,WASHINGTON,WA,grade_4,84097,WA state data
2019-2020,53,WASHINGTON,WA,grade_5,86942,WA state data
2019-2020,53,WASHINGTON,WA,grade_6,88209,WA state data
2019-2020,53,WASHINGTON,WA,grade_7,87785,WA state data
2019-2020,53,WASHINGTON,WA,grade_8,85317,WA state data
2019-2020,53,WASHINGTON,WA,grade_9,84999,WA state data
2019-2020,53,WASHINGTON,WA,k_12_total,1107745,WA state data
2019-2020,53,WASHINGTON,WA,kindergarten,82042,WA state data
2019-2020,54,WEST VIRGINIA,WV,grade_1,18964,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_10,19776,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_11,18010,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_12,17727,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_2,18493,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_3,18553,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_4,18765,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_5,19528,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_6,19951,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_7,19952,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_8,19313,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,grade_9,21148,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,k_12_total,246803,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,kindergarten,16623,CCD federal data
2019-2020,54,WEST VIRGINIA,WV,unspecified,0,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_1,56992,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_10,65486,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_11,63948,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_12,65650,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_2,57345,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_3,57949,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_4,59044,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_5,61357,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_6,62483,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_7,63740,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_8,62458,CCD federal data
2019-2020,55,WISCONSIN,WI,grade_9,65854,CCD federal data
2019-2020,55,WISCONSIN,WI,k_12_total,799062,CCD federal data
2019-2020,55,WISCONSIN,WI,kindergarten,56756,CCD federal data
2019-2020,55,WISCONSIN,WI,unspecified,0,CCD federal data
2019-2020,56,WYOMING,WY,grade_1,7032,CCD federal data
2019-2020,56,WYOMING,WY,grade_10,7065,CCD federal data
2019-2020,56,WYOMING,WY,grade_11,6708,CCD federal data
2019-2020,56,WYOMING,WY,grade_12,6394,CCD federal data
2019-2020,56,WYOMING,WY,grade_2,6967,CCD federal data
2019-2020,56,WYOMING,WY,grade_3,7108,CCD federal data
2019-2020,56,WYOMING,WY,grade_4,7263,CCD federal data
2019-2020,56,WYOMING,WY,grade_5,7455,CCD federal data
2019-2020,56,WYOMING,WY,grade_6,7590,CCD federal data
2019-2020,56,WYOMING,WY,grade_7,7801,CCD federal data
2019-2020,56,WYOMING,WY,grade_8,7542,CCD federal data
2019-2020,56,WYOMING,WY,grade_9,7714,CCD federal data
2019-2020,56,WYOMING,WY,k_12_total,94214,CCD federal data
2019-2020,56,WYOMING,WY,kindergarten,7575,CCD federal data
2019-2020,56,WYOMING,WY,unspecified,0,CCD federal data
2020-2021,1,ALABAMA,AL,grade_1,55168,CCD federal data
2020-2021,1,ALABAMA,AL,grade_10,55750,CCD federal data
2020-2021,1,ALABAMA,AL,grade_11,52379,CCD federal data
2020-2021,1,ALABAMA,AL,grade_12,50555,CCD federal data
2020-2021,1,ALABAMA,AL,grade_2,54052,CCD federal data
2020-2021,1,ALABAMA,AL,grade_3,53823,CCD federal data
2020-2021,1,ALABAMA,AL,grade_4,53938,CCD federal data
2020-2021,1,ALABAMA,AL,grade_5,55024,CCD federal data
2020-2021,1,ALABAMA,AL,grade_6,57316,CCD federal data
2020-2021,1,ALABAMA,AL,grade_7,58831,CCD federal data
2020-2021,1,ALABAMA,AL,grade_8,58046,CCD federal data
2020-2021,1,ALABAMA,AL,grade_9,57864,CCD federal data
2020-2021,2,ALASKA,AK,k_12_total,126363,CCD federal data
2020-2021,1,ALABAMA,AL,kindergarten,53338,CCD federal data
2020-2021,1,ALABAMA,AL,unspecified,0,CCD federal data
2020-2021,2,ALASKA,AK,grade_1,9876,CCD federal data
2020-2021,2,ALASKA,AK,grade_10,9412,CCD federal data
2020-2021,2,ALASKA,AK,grade_11,9161,CCD federal data
2020-2021,2,ALASKA,AK,grade_12,9422,CCD federal data
2020-2021,2,ALASKA,AK,grade_2,9791,CCD federal data
2020-2021,2,ALASKA,AK,grade_3,9853,CCD federal data
2020-2021,2,ALASKA,AK,grade_4,9891,CCD federal data
2020-2021,2,ALASKA,AK,grade_5,9881,CCD federal data
2020-2021,2,ALASKA,AK,grade_6,10096,CCD federal data
2020-2021,2,ALASKA,AK,grade_7,10044,CCD federal data
2020-2021,2,ALASKA,AK,grade_8,9787,CCD federal data
2020-2021,2,ALASKA,AK,grade_9,9776,CCD federal data
2020-2021,1,ALABAMA,AL,k_12_total,716084,CCD federal data
2020-2021,2,ALASKA,AK,kindergarten,9373,CCD federal data
2020-2021,2,ALASKA,AK,unspecified,0,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_1,80374,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_10,88801,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_11,83623,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_12,90498,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_2,79693,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_3,80218,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_4,81022,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_5,82433,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_6,86274,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_7,90222,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_8,90729,CCD federal data
2020-2021,4,ARIZONA,AZ,grade_9,90612,CCD federal data
